CallStack,Count
google.golang.org/grpc/transport.newHTTP2Server.func2;google.golang.org/grpc/transport.loopyWriter;google.golang.org/grpc/transport.(*http2Server).itemHandler;bufio.(*Writer).Flush;net.(*conn).Write;net.(*netFD).Write;internal/poll.(*FD).Write;internal/poll.ignoringEINTRIO;syscall.Write;syscall.write;syscall.Syscall,1727
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.netpoll;runtime.epollwait,930
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.stopm;runtime.mPark;runtime.notesleep;runtime.futexsleep;runtime.futex,580
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.readFrameHeader;io.ReadFull;io.ReadAtLeast;bufio.(*Reader).Read;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;internal/poll.ignoringEINTRIO;syscall.Read;syscall.read;syscall.Syscall,492
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.readFrameHeader;io.ReadFull;io.ReadAtLeast;bufio.(*Reader).Read;net.(*conn).Read;net.(*netFD).Read;internal/poll.(*FD).Read;internal/poll.ignoringEINTRIO;syscall.Read;syscall.read;syscall.Syscall;runtime.entersyscall;runtime.reentersyscall;runtime.systemstack;runtime.entersyscall_sysmon;runtime.notewakeup;runtime.futexwakeup;runtime.futex,430
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;google.golang.org/grpc/transport.(*http2Server).operateHeaders;google.golang.org/grpc.(*Server).serveStreams.func1;runtime.newproc;runtime.systemstack;runtime.newproc.func1;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,234
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;google.golang.org/grpc/transport.(*http2Server).handlePing;google.golang.org/grpc/transport.(*controlBuffer).put;runtime.selectnbsend;runtime.chansend;runtime.send;runtime.goready;runtime.systemstack;runtime.goready.func1;runtime.ready;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,231
runtime.mcall;runtime.park_m;runtime.schedule;runtime.resetspinning;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,174
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.netpollBreak;runtime.write;runtime.write1,166
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.(*Framer).readMetaFrame;golang.org/x/net/http2/hpack.(*Decoder).Write;golang.org/x/net/http2/hpack.(*Decoder).parseHeaderFieldRepr;golang.org/x/net/http2/hpack.(*Decoder).parseFieldLiteral;golang.org/x/net/http2/hpack.(*Decoder).readString;golang.org/x/net/http2/hpack.huffmanDecode,100
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations,98
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;google.golang.org/grpc.(*Server).sendResponse;google.golang.org/grpc/transport.(*http2Server).Write;google.golang.org/grpc/transport.(*http2Server).WriteHeader;google.golang.org/grpc/transport.(*controlBuffer).put;runtime.selectnbsend;runtime.chansend;runtime.send;runtime.goready;runtime.systemstack;runtime.goready.func1;runtime.ready;runtime.wakep;runtime.startm;runtime.notewakeup;runtime.futexwakeup;runtime.futex,96
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;github.com/hailocab/go-geoindex.Distance;github.com/hailocab/go-geoindex.distance;math.Pow;math.pow,80
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable,70
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;github.com/hailocab/go-geoindex.Distance;github.com/hailocab/go-geoindex.distance;math.Sin;math.sin,69
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;github.com/hailocab/go-geoindex.Distance;github.com/hailocab/go-geoindex.distance;math.Cos;math.cos,69
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.netpoll,68
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/uber/jaeger-client-go.(*Tracer).Extract;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.metadataReaderWriter.ForeachKey;github.com/uber/jaeger-client-go.(*textMapPropagator).Extract.func1;github.com/uber/jaeger-client-go.ContextFromString;strings.Split;strings.genSplit;strings.Count;runtime.newstack;runtime.copystack;runtime.gentraceback;runtime.adjustframe;runtime.getStackMap,67
google.golang.org/grpc.(*Server).serveStreams.func1.1;google.golang.org/grpc.(*Server).handleStream;google.golang.org/grpc.(*Server).processUnaryRPC;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler;github.com/grpc-ecosystem/grpc-opentracing/go/otgrpc.OpenTracingServerInterceptor.func1;github.com/harlow/go-micro-services/services/recommendation/proto._Recommendation_GetRecommendations_Handler.func1;github.com/harlow/go-micro-services/services/recommendation.(*Server).GetRecommendations;runtime.mapiternext,60
google.golang.org/grpc/transport.newHTTP2Server.func2;google.golang.org/grpc/transport.loopyWriter;runtime.selectgo,59
google.golang.org/grpc.(*Server).handleRawConn.func3;google.golang.org/grpc.(*Server).handleRawConn.func2;google.golang.org/grpc.(*Server).serveStreams;google.golang.org/grpc/transport.(*http2Server).HandleStreams;golang.org/x/net/http2.(*Framer).ReadFrame;golang.org/x/net/http2.readFrameHeader;io.ReadFull;io.ReadAtLeast;bufio.(*Reader).Read,53
runtime.mcall;runtime.park_m;runtime.schedule;runtime.findrunnable;runtime.stealWork;runtime.runqsteal;runtime.runqgrab;runtime.usleep,52
